"louvain";"two mode";"id";"text"
"0";"column";"1286";"5e307498000340442f9d2717_Harry-Potter-und-die-Kanadische-Baracke"
"4";"column";"1287";"5e30a72a00062a3213c2034a_Felix-felicis"
"0";"column";"1288";"5e3121e800030dd639d6d9ef_Der-Schluessel-zum-Herzen-aus-Stein"
"7";"column";"1289";"5e317702000b90bb19ccf8d0_Jungzauberer-und-andere-Probleme-eines-Elementariers"
"1";"row";"129";"Dorcas Meadowes"
"7";"row";"1290";"Lorcan Scamander"
"0";"column";"1291";"5e3184b2000614fe1a0bcd52_Ein-Abend-unter-Freunden"
"0";"column";"1292";"5e318ccf000b578a8192f4c_Weihnachten-im-Slytherin-Gemeinschaftsraum"
"7";"column";"1293";"5e319331000b876a179b3182_Dear-Mom-and-Dad"
"0";"column";"1294";"5e31cc7f00095182ee846c2_Warum-so-lange"
"0";"column";"1295";"5e31d2d80003ee661e9409c3_12-Momente--1-turbulentes-Jahr-im"
"4";"column";"1296";"5e31dd4300033f681a15fd8a_RocknRoll-Dreams-Come-Through"
"3";"column";"1297";"5e31eed30009560b2406029c_Die-Traenen-des-Phoenix"
"1";"column";"1298";"5e3211ae000b325b5f8fb74_Kalte-Winter-warme-Herzen"
"7";"column";"1299";"5e323e3300006ec92fc361c0_Zweisiedler"
"0";"column";"13";"46bc3de200002307067007d0_Die-Wahrheit-der-Vergangenheit"
"1";"column";"130";"53271cfa00009c6c7b22471_She-acts-like-a-Woman-should"
"4";"column";"1300";"5e3275860008d78b148f7128_Ich-muss-mich-erinnern"
"2";"column";"1301";"5e32ba7200089e07378ded4b_Wo-das-Schicksal-uns-hinbringt"
"3";"column";"1302";"5e32e8380003be3e210b60ad_Another-Fairytale"
"1";"column";"1303";"5e3301290007d7be33c7643d_Wenn-es-Computer-in-Hogwarts-gaebe-Shakespeare"
"0";"column";"1306";"5e334db6000051cd25ada919_to-look-at-each-other"
"4";"column";"1307";"5e3391600002fa4a290a4c96_A-Cure-for-Insomnia"
"5";"column";"1308";"5e3449aa0003ee662ad4b538_Geschwisterbande"
"0";"column";"1309";"5e345f670001b0753b514529_Alles-was-das-Herz-will"
"1";"row";"131";"Regulus Arcturus Black"
"0";"column";"1310";"5e34746200056e6d3b478026_Nummer-6726"
"5";"column";"1311";"5e348079000b47f425cce623-Januar-Ein-Herz-aus-Eis-by"
"3";"column";"1312";"5e34a3b3000a269d1546e1c0_Der-Loewe-von-Kerry"
"0";"column";"1313";"5e34b0e5000b93101a87b6ed_Was-willst-du-Dramione"
"1";"column";"1314";"5e3536df000b47f4334a683b-Februar-Das-Geschenk-by-NamiraKayleighFaolan"
"3";"column";"1315";"5e35655e000b6d961aaa721a_Schokolade-im-Mondlicht"
"0";"column";"1316";"5e3586040002c0571548c17f_DecisionSpiel-mit-dem-Feuer"
"0";"column";"1317";"5e35e0bc00045c1f2687fe6c_wilde-herzen"
"2";"column";"1318";"5e36b9ac000a824d2bb360c0_Kein-gutes-Ende"
"0";"column";"1319";"5e36eed500062e402562b742_Die-Hexen-und-das-Weihnachtsspecial"
"2";"column";"132";"5341a5e90002f5f913cac5af_Reborn"
"5";"column";"1320";"5e36fce900009e6d1c40423d_Swampinson-Park--Versunken-im-Moor"
"3";"column";"1321";"5e3721ad000b6d96756b724_Spiegellabyrinth"
"0";"column";"1322";"5e37252000034eb81895e273_Biss-zur-Flucht"
"8";"column";"1323";"5e37412c000614fe1163abde_Wicked-Games"
"0";"column";"1324";"5e3751bc000a75a891caefd_Dramione--Blinde-liebe"
"0";"column";"1325";"5e3776a9000ba1c9fdc5102_Die-zweite-Runde"
"0";"column";"1326";"5e377711000b769018df05e1_Alles-auf-Anfang"
"2";"column";"1328";"5e384d680002adfb2e25f942_Teratiha"
